Country,Year,Count,Count_median,Count_min,Count_max,WHO Region,,Total
Benin,2000,2400[1200–4900],2400,1200,4900,Africa,,6600
Bhutan,2000,100[100–100],100,100,100,South-East Asia,,300
Bolivia (Plurinational State of),2000,670[500–830],670,500,830,Americas,,2940
Bosnia and Herzegovina,2000,100[100–100],100,100,100,Europe,,300
Botswana,2000,15000[13000–18000],15000,13000,18000,Africa,,27100
Brazil,2000,15000[11000–20000],15000,11000,20000,Americas,,45000
Brunei Darussalam,2000,na,,,,Western Pacific,,0
Bulgaria,2000,100[100–100],100,100,100,Europe,,300
Burkina Faso,2000,12000[9300–15000],12000,9300,15000,Africa,,20100
Burundi,2000,11000[7800–13000],11000,7800,13000,Africa,,18100
Cabo Verde,2000,200[100–200],200,100,200,Africa,,400
Cambodia,2000,4500[3200–5800],4500,3200,5800,Western Pacific,,8300
Cameroon,2000,19000[15000–24000],19000,15000,24000,Africa,,59000
Canada,2000,na,,,,Americas,,0
Central African Republic,2000,11000[8400–14000],11000,8400,14000,Africa,,23600
Chad,2000,5600[3800–7700],5600,3800,7700,Africa,,12200
Chile,2000,na,,,,Americas,,590
China,2000,na,,,,Western Pacific,,0
Colombia,2000,na,,,,Americas,,0
Comoros,2000,100[100–100],100,100,100,Africa,,300
Congo,2000,6100[4700–7800],6100,4700,7800,Americas,,14000
Costa Rica,2000,500[500–500],500,500,500,Americas,,1500
Côte d'Ivoire,2000,44000[32000–63000],44000,32000,63000,Africa,,84000
Croatia,2000,100[100–100],100,100,100,Europe,,300
Cuba,2000,200[200–500],200,200,500,Americas,,1200
Cyprus,2000,na,,,,Europe,,0
Czechia,2000,100[100–100],100,100,100,Europe,,300
Democratic People's Republic of Korea,2000,na,,,,Western Pacific,,0
Democratic Republic of the Congo,2000,43000[35000–49000],43000,35000,49000,Africa,,90000
Denmark,2000,100[100–100],100,100,100,Europe,,300
Djibouti,2000,500[500–690],500,500,690,Eastern Mediterranean,,1630
Dominican Republic,2000,4800[3100–7100],4800,3100,7100,Americas,,9000
Ecuador,2000,1500[620–2600],1500,620,2600,Americas,,3220
Egypt,2000,100[100–100],100,100,100,Eastern Mediterranean,,800
El Salvador,2000,810[580–1000],810,580,1000,Americas,,2010
Equatorial Guinea,2000,680[500–1000],680,500,1000,Africa,,3880
Eritrea,2000,1100[690–1500],1100,690,1500,Africa,,2220
Estonia,2000,100[100–100],100,100,100,Europe,,400
Eswatini,2000,5000[4000–6100],5000,4000,6100,Africa,,11200
Ethiopia,2000,58000[35000–100000],58000,35000,100000,Africa,,89000
Fiji,2000,na,,,,Western Pacific,,0
Finland,2000,100[100–100],100,100,100,Europe,,300
France,2000,880[720–1000],880,720,1000,Europe,,1980
Gabon,2000,1600[1100–2300],1600,1100,2300,Africa,,4400
Gambia,2000,500[500–620],500,500,620,Africa,,2450
Georgia,2000,100[100–100],100,100,100,Europe,,700
Germany,2000,880[690–1100],880,690,1100,Europe,,1880
Ghana,2000,18000[15000–22000],18000,15000,22000,Africa,,49000
Greece,2000,na,,,,Europe,,0
Guatemala,2000,2400[2000–2700],2400,2000,2700,Americas,,6300
Guinea,2000,5000[3400–7000],5000,3400,7000,Africa,,13400
Guinea-Bissau,2000,1100[850–1400],1100,850,1400,Africa,,4800
Guyana,2000,100[100–200],100,100,200,Americas,,400
Haiti,2000,12000[9400–15000],12000,9400,15000,Americas,,19600
Honduras,2000,3200[2300–4000],3200,2300,4000,Americas,,5380
Hungary,2000,100[100–100],100,100,100,Europe,,300
Iceland,2000,100[100–100],100,100,100,Europe,,300
India,2000,na,,,,South-East Asia,,0
Indonesia,2000,1900[1200–2500],1900,1200,2500,South-East Asia,,63900
Iran (Islamic Republic of),2000,500[500–1400],500,500,1400,Eastern Mediterranean,,5500
Ireland,2000,100[100–100],100,100,100,Europe,,300
Israel,2000,100[100–100],100,100,100,Europe,,300
Italy,2000,1200[1000–1500],1200,1000,1500,Europe,,2740
Jamaica,2000,2400[1900–3100],2400,1900,3100,Americas,,5700
Japan,2000,na,,,,Western Pacific,,0
Jordan,2000,100[100–100],100,100,100,Eastern Mediterranean,,300
Kazakhstan,2000,100[100–100],100,100,100,Europe,,1100
Kenya,2000,120000[88000–190000],120000,88000,190000,Africa,,201000
Kuwait,2000,100[100–100],100,100,100,Eastern Mediterranean,,300
Kyrgyzstan,2000,100[100–100],100,100,100,Europe,,500
Lao People's Democratic Republic,2000,100[100–100],100,100,100,Western Pacific,,1100
Latvia,2000,100[100–200],100,100,200,Europe,,400
Lebanon,2000,100[100–100],100,100,100,Eastern Mediterranean,,300
Lesotho,2000,12000[9000–16000],12000,9000,16000,Africa,,25300
Liberia,2000,3000[2600–3400],3000,2600,3400,Africa,,7500
Libya,2000,100[100–100],100,100,100,Eastern Mediterranean,,400
Lithuania,2000,na,,,,Europe,,0
Luxembourg,2000,100[100–100],100,100,100,Europe,,300
Madagascar,2000,500[200–930],500,200,930,Africa,,3600
Malawi,2000,57000[49000–65000],57000,49000,65000,Africa,,99000
Malaysia,2000,2700[2200–3200],2700,2200,3200,Western Pacific,,8200
Maldives,2000,na,,,,South-East Asia,,0
Mali,2000,7700[5600–9800],7700,5600,9800,Africa,,19500
Malta,2000,na,,,,Europe,,0
Mauritania,2000,500[200–500],500,200,500,Africa,,1500
Mauritius,2000,100[100–200],100,100,200,Africa,,1210
Mexico,2000,na,,,,Americas,,0
Mongolia,2000,100[100–100],100,100,100,Western Pacific,,300
Montenegro,2000,100[100–100],100,100,100,Europe,,300
Morocco,2000,500[500–680],500,500,680,Eastern Mediterranean,,1550
Mozambique,2000,40000[29000–54000],40000,29000,54000,Africa,,158000
Myanmar,2000,5800[4600–6800],5800,4600,6800,South-East Asia,,24600
Namibia,2000,7300[5700–9100],7300,5700,9100,Africa,,13500
Nepal,2000,500[500–500],500,500,500,South-East Asia,,2810
Netherlands,2000,200[200–200],200,200,200,Europe,,400
New Zealand,2000,100[100–100],100,100,100,Western Pacific,,300
